name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_vector_push_back",40463744,17.5392,17.5392,ns,,,,,
"BM_vector_push_back",40463744,17.5064,17.5064,ns,,,,,
"BM_vector_push_back",40463744,17.5124,17.5124,ns,,,,,
"BM_vector_push_back",40463744,17.4848,17.4848,ns,,,,,
"BM_vector_push_back",40463744,17.4292,17.4292,ns,,,,,
"BM_vector_push_back",40463744,17.5041,17.5041,ns,,,,,
"BM_vector_push_back",40463744,17.5233,17.5233,ns,,,,,
"BM_vector_push_back",40463744,17.5317,17.5317,ns,,,,,
"BM_vector_push_back",40463744,17.62,17.62,ns,,,,,
"BM_vector_push_back",40463744,17.5596,17.5596,ns,,,,,
"BM_vector_push_back_mean",10,17.5211,17.5211,ns,,,,,
"BM_vector_push_back_median",10,17.5178,17.5178,ns,,,,,
"BM_vector_push_back_stddev",10,0.0494944,0.0494935,ns,,,,,
"BM_vector_push_back_cv",10,0.00282485,0.0028248,,,,,,
"BM_string_accumulate",4749285,159.958,159.958,ns,,,,,
"BM_string_accumulate",4749285,146.453,146.453,ns,,,,,
"BM_string_accumulate",4749285,146.066,146.067,ns,,,,,
"BM_string_accumulate",4749285,160.327,160.312,ns,,,,,
"BM_string_accumulate",4749285,146.354,146.355,ns,,,,,
"BM_string_accumulate",4749285,146.863,146.862,ns,,,,,
"BM_string_accumulate",4749285,145.746,145.746,ns,,,,,
"BM_string_accumulate",4749285,146.552,146.546,ns,,,,,
"BM_string_accumulate",4749285,146.231,146.231,ns,,,,,
"BM_string_accumulate",4749285,148.155,148.155,ns,,,,,
"BM_string_accumulate_mean",10,149.271,149.269,ns,,,,,
"BM_string_accumulate_median",10,146.503,146.5,ns,,,,,
"BM_string_accumulate_stddev",10,5.76649,5.76362,ns,,,,,
"BM_string_accumulate_cv",10,0.0386311,0.0386124,,,,,,
"BM_fibonacci",139086,5035.33,5035.33,ns,,,,,
"BM_fibonacci",139086,5036.11,5036.12,ns,,,,,
"BM_fibonacci",139086,5036.36,5036.36,ns,,,,,
"BM_fibonacci",139086,5037.87,5037.38,ns,,,,,
"BM_fibonacci",139086,5036.95,5036.29,ns,,,,,
"BM_fibonacci",139086,5037.73,5037.73,ns,,,,,
"BM_fibonacci",139086,5036.77,5036.77,ns,,,,,
"BM_fibonacci",139086,5036.38,5036.38,ns,,,,,
"BM_fibonacci",139086,5035.22,5035.21,ns,,,,,
"BM_fibonacci",139086,5036.65,5036.64,ns,,,,,
"BM_fibonacci_mean",10,5036.54,5036.42,ns,,,,,
"BM_fibonacci_median",10,5036.52,5036.37,ns,,,,,
"BM_fibonacci_stddev",10,0.873284,0.787825,ns,,,,,
"BM_fibonacci_cv",10,0.00017339,0.000156426,,,,,,
"BM_doubleToString/10",381681,1825.69,1825.69,ns,,,,,
"BM_doubleToString/10",381681,1841.05,1841.05,ns,,,,,
"BM_doubleToString/10",381681,1839.41,1839.41,ns,,,,,
"BM_doubleToString/10",381681,1842.3,1842.3,ns,,,,,
"BM_doubleToString/10",381681,1839.91,1839.91,ns,,,,,
"BM_doubleToString/10",381681,1856.74,1856.73,ns,,,,,
"BM_doubleToString/10",381681,1852.99,1852.99,ns,,,,,
"BM_doubleToString/10",381681,1845.98,1845.97,ns,,,,,
"BM_doubleToString/10",381681,1846.28,1846.27,ns,,,,,
"BM_doubleToString/10",381681,1854.67,1854.67,ns,,,,,
"BM_doubleToString/10_mean",10,1844.5,1844.5,ns,,,,,
"BM_doubleToString/10_median",10,1844.14,1844.14,ns,,,,,
"BM_doubleToString/10_stddev",10,9.11715,9.11663,ns,,,,,
"BM_doubleToString/10_cv",10,0.00494287,0.00494261,,,,,,
"BM_doubleToString/100",26933,25976,25975.9,ns,,,,,
"BM_doubleToString/100",26933,26113.6,26113.5,ns,,,,,
"BM_doubleToString/100",26933,25884.8,25884.7,ns,,,,,
"BM_doubleToString/100",26933,26196.9,26196.8,ns,,,,,
"BM_doubleToString/100",26933,25988.2,25988.1,ns,,,,,
"BM_doubleToString/100",26933,26926.7,26926.6,ns,,,,,
"BM_doubleToString/100",26933,25982.8,25982.7,ns,,,,,
"BM_doubleToString/100",26933,25854.8,25854.7,ns,,,,,
"BM_doubleToString/100",26933,25987.3,25987.2,ns,,,,,
"BM_doubleToString/100",26933,26856.8,26856.7,ns,,,,,
"BM_doubleToString/100_mean",10,26176.8,26176.7,ns,,,,,
"BM_doubleToString/100_median",10,25987.7,25987.6,ns,,,,,
"BM_doubleToString/100_stddev",10,389.8,389.806,ns,,,,,
"BM_doubleToString/100_cv",10,0.0148911,0.0148913,,,,,,
"BM_doubleToString/1000",2100,309961,309960,ns,,,,,
"BM_doubleToString/1000",2100,337681,337680,ns,,,,,
"BM_doubleToString/1000",2100,335245,335244,ns,,,,,
"BM_doubleToString/1000",2100,312705,312704,ns,,,,,
"BM_doubleToString/1000",2100,312417,312416,ns,,,,,
"BM_doubleToString/1000",2100,325253,325231,ns,,,,,
"BM_doubleToString/1000",2100,312928,312927,ns,,,,,
"BM_doubleToString/1000",2100,311847,311846,ns,,,,,
"BM_doubleToString/1000",2100,311492,311491,ns,,,,,
"BM_doubleToString/1000",2100,311540,311527,ns,,,,,
"BM_doubleToString/1000_mean",10,318107,318103,ns,,,,,
"BM_doubleToString/1000_median",10,312561,312560,ns,,,,,
"BM_doubleToString/1000_stddev",10,10586.7,10586,ns,,,,,
"BM_doubleToString/1000_cv",10,0.0332802,0.0332785,,,,,,
"BM_doubleToString/10000",182,3.87974e+06,3.87973e+06,ns,,,,,
"BM_doubleToString/10000",182,3.8894e+06,3.88922e+06,ns,,,,,
"BM_doubleToString/10000",182,3.92724e+06,3.92722e+06,ns,,,,,
"BM_doubleToString/10000",182,3.87867e+06,3.87866e+06,ns,,,,,
"BM_doubleToString/10000",182,3.87171e+06,3.8717e+06,ns,,,,,
"BM_doubleToString/10000",182,3.90167e+06,3.90147e+06,ns,,,,,
"BM_doubleToString/10000",182,3.86845e+06,3.86798e+06,ns,,,,,
"BM_doubleToString/10000",182,3.88043e+06,3.88041e+06,ns,,,,,
"BM_doubleToString/10000",182,3.86988e+06,3.86987e+06,ns,,,,,
"BM_doubleToString/10000",182,3.86572e+06,3.8657e+06,ns,,,,,
"BM_doubleToString/10000_mean",10,3.88329e+06,3.8832e+06,ns,,,,,
"BM_doubleToString/10000_median",10,3.87921e+06,3.87919e+06,ns,,,,,
"BM_doubleToString/10000_stddev",10,18830.2,18845,ns,,,,,
"BM_doubleToString/10000_cv",10,0.00484903,0.00485296,,,,,,
"BM_doubleToString/100000",18,3.95011e+07,3.9501e+07,ns,,,,,
"BM_doubleToString/100000",18,3.93262e+07,3.93261e+07,ns,,,,,
"BM_doubleToString/100000",18,3.97735e+07,3.97733e+07,ns,,,,,
"BM_doubleToString/100000",18,3.96915e+07,3.96914e+07,ns,,,,,
"BM_doubleToString/100000",18,3.97059e+07,3.97058e+07,ns,,,,,
"BM_doubleToString/100000",18,3.96944e+07,3.96942e+07,ns,,,,,
"BM_doubleToString/100000",18,3.94561e+07,3.9456e+07,ns,,,,,
"BM_doubleToString/100000",18,3.94332e+07,3.94331e+07,ns,,,,,
"BM_doubleToString/100000",18,3.94154e+07,3.94152e+07,ns,,,,,
"BM_doubleToString/100000",18,3.94633e+07,3.92762e+07,ns,,,,,
"BM_doubleToString/100000_mean",10,3.95461e+07,3.95272e+07,ns,,,,,
"BM_doubleToString/100000_median",10,3.94822e+07,3.94785e+07,ns,,,,,
"BM_doubleToString/100000_stddev",10,154754,175735,ns,,,,,
"BM_doubleToString/100000_cv",10,0.00391326,0.00444592,,,,,,
"BM_uptr",38807812,18.0021,18.0021,ns,,,,,
"BM_uptr",38807812,17.9022,17.8999,ns,,,,,
"BM_uptr",38807812,17.9179,17.9178,ns,,,,,
"BM_uptr",38807812,17.8487,17.845,ns,,,,,
"BM_uptr",38807812,17.9826,17.9803,ns,,,,,
"BM_uptr",38807812,17.8852,17.8852,ns,,,,,
"BM_uptr",38807812,17.9437,17.9437,ns,,,,,
"BM_uptr",38807812,18.0177,18.0176,ns,,,,,
"BM_uptr",38807812,17.9801,17.98,ns,,,,,
"BM_uptr",38807812,18.0155,18.0155,ns,,,,,
"BM_uptr_mean",10,17.9496,17.9487,ns,,,,,
"BM_uptr_median",10,17.9619,17.9619,ns,,,,,
"BM_uptr_stddev",10,0.0590466,0.0598087,ns,,,,,
"BM_uptr_cv",10,0.00328958,0.0033322,,,,,,
"BM_shared_ptr",33288733,21.0398,21.0397,ns,,,,,
"BM_shared_ptr",33288733,21.0246,21.0245,ns,,,,,
"BM_shared_ptr",33288733,21.0758,21.0757,ns,,,,,
"BM_shared_ptr",33288733,21.0427,21.0427,ns,,,,,
"BM_shared_ptr",33288733,20.9002,20.9001,ns,,,,,
"BM_shared_ptr",33288733,20.8608,20.8608,ns,,,,,
"BM_shared_ptr",33288733,21.0212,21.0198,ns,,,,,
"BM_shared_ptr",33288733,20.8949,20.8948,ns,,,,,
"BM_shared_ptr",33288733,21.3752,21.2906,ns,,,,,
"BM_shared_ptr",33288733,21.0586,21.048,ns,,,,,
"BM_shared_ptr_mean",10,21.0294,21.0197,ns,,,,,
"BM_shared_ptr_median",10,21.0322,21.0321,ns,,,,,
"BM_shared_ptr_stddev",10,0.143832,0.121748,ns,,,,,
"BM_shared_ptr_cv",10,0.00683958,0.00579211,,,,,,
"BM_list_reverse/10000",13655,50696.3,50688.5,ns,,,,,
"BM_list_reverse/10000",13655,50650.9,50650.7,ns,,,,,
"BM_list_reverse/10000",13655,50731.2,50723.7,ns,,,,,
"BM_list_reverse/10000",13655,50673.8,50669.1,ns,,,,,
"BM_list_reverse/10000",13655,50604.3,50604.1,ns,,,,,
"BM_list_reverse/10000",13655,50638.5,50638.3,ns,,,,,
"BM_list_reverse/10000",13655,50612.7,50612.5,ns,,,,,
"BM_list_reverse/10000",13655,50665.9,50663.8,ns,,,,,
"BM_list_reverse/10000",13655,50747.8,50744.8,ns,,,,,
"BM_list_reverse/10000",13655,50667.4,50667.3,ns,,,,,
"BM_list_reverse/10000_mean",10,50668.9,50666.3,ns,,,,,
"BM_list_reverse/10000_median",10,50666.6,50665.5,ns,,,,,
"BM_list_reverse/10000_stddev",10,46.5251,44.4082,ns,,,,,
"BM_list_reverse/10000_cv",10,0.000918219,0.000876484,,,,,,
"BM_list_reverse/100000",1191,601473,601471,ns,,,,,
"BM_list_reverse/100000",1191,604576,604573,ns,,,,,
