name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_vector_push_back",92899996,7.44777,7.42999,ns,,,,,
"BM_vector_push_back",92899996,7.45142,7.45063,ns,,,,,
"BM_vector_push_back",92899996,7.44978,7.43993,ns,,,,,
"BM_vector_push_back",92899996,7.44038,7.4328,ns,,,,,
"BM_vector_push_back",92899996,7.42951,7.42873,ns,,,,,
"BM_vector_push_back",92899996,7.43791,7.4312,ns,,,,,
"BM_vector_push_back",92899996,7.43164,7.42569,ns,,,,,
"BM_vector_push_back",92899996,7.4317,7.43156,ns,,,,,
"BM_vector_push_back",92899996,7.44726,7.4417,ns,,,,,
"BM_vector_push_back",92899996,7.44751,7.43876,ns,,,,,
"BM_vector_push_back_mean",10,7.44149,7.4351,ns,,,,,
"BM_vector_push_back_median",10,7.44382,7.43218,ns,,,,,
"BM_vector_push_back_stddev",10,0.00834431,0.00752622,ns,,,,,
"BM_vector_push_back_cv",10,0.00112132,0.00101226,,,,,,
"BM_string_accumulate",10535500,65.3852,65.3853,ns,,,,,
"BM_string_accumulate",10535500,65.5552,65.4804,ns,,,,,
"BM_string_accumulate",10535500,66.2218,66.1675,ns,,,,,
"BM_string_accumulate",10535500,65.6178,65.5445,ns,,,,,
"BM_string_accumulate",10535500,65.8262,65.8241,ns,,,,,
"BM_string_accumulate",10535500,65.8131,65.7568,ns,,,,,
"BM_string_accumulate",10535500,65.551,65.5009,ns,,,,,
"BM_string_accumulate",10535500,66.7772,65.8436,ns,,,,,
"BM_string_accumulate",10535500,65.5962,65.5392,ns,,,,,
"BM_string_accumulate",10535500,65.4917,65.3877,ns,,,,,
"BM_string_accumulate_mean",10,65.7835,65.643,ns,,,,,
"BM_string_accumulate_median",10,65.607,65.5419,ns,,,,,
"BM_string_accumulate_stddev",10,0.420944,0.249388,ns,,,,,
"BM_string_accumulate_cv",10,0.00639893,0.00379916,,,,,,
"BM_fibonacci",319356,2195.3,2192.07,ns,,,,,
"BM_fibonacci",319356,2191.83,2191.83,ns,,,,,
"BM_fibonacci",319356,2196.52,2194.79,ns,,,,,
"BM_fibonacci",319356,2195.76,2193.9,ns,,,,,
"BM_fibonacci",319356,2193.59,2193.41,ns,,,,,
"BM_fibonacci",319356,2197.19,2195.45,ns,,,,,
"BM_fibonacci",319356,2197.64,2195.19,ns,,,,,
"BM_fibonacci",319356,2194.98,2191.88,ns,,,,,
"BM_fibonacci",319356,2191.87,2191.76,ns,,,,,
"BM_fibonacci",319356,2195.98,2192.65,ns,,,,,
"BM_fibonacci_mean",10,2195.07,2193.29,ns,,,,,
"BM_fibonacci_median",10,2195.53,2193.03,ns,,,,,
"BM_fibonacci_stddev",10,2.04043,1.46332,ns,,,,,
"BM_fibonacci_cv",10,0.000929552,0.000667179,,,,,,
"BM_doubleToString/10",864317,808.057,806.719,ns,,,,,
"BM_doubleToString/10",864317,805.349,805.325,ns,,,,,
"BM_doubleToString/10",864317,806.687,805.501,ns,,,,,
"BM_doubleToString/10",864317,806.901,805.642,ns,,,,,
"BM_doubleToString/10",864317,806.982,805.755,ns,,,,,
"BM_doubleToString/10",864317,805.444,805.443,ns,,,,,
"BM_doubleToString/10",864317,806.599,805.368,ns,,,,,
"BM_doubleToString/10",864317,807.34,806.086,ns,,,,,
"BM_doubleToString/10",864317,805.142,805.125,ns,,,,,
"BM_doubleToString/10",864317,807.412,806.171,ns,,,,,
"BM_doubleToString/10_mean",10,806.591,805.713,ns,,,,,
"BM_doubleToString/10_median",10,806.794,805.571,ns,,,,,
"BM_doubleToString/10_stddev",10,0.977609,0.483119,ns,,,,,
"BM_doubleToString/10_cv",10,0.00121203,0.000599617,,,,,,
"BM_doubleToString/100",61269,11435.8,11418.4,ns,,,,,
"BM_doubleToString/100",61269,11454.4,11435.3,ns,,,,,
"BM_doubleToString/100",61269,11404,11401.6,ns,,,,,
"BM_doubleToString/100",61269,11393.9,11379.3,ns,,,,,
"BM_doubleToString/100",61269,11453.6,11443.4,ns,,,,,
"BM_doubleToString/100",61269,11450.9,11450.3,ns,,,,,
"BM_doubleToString/100",61269,11607.4,11598.3,ns,,,,,
"BM_doubleToString/100",61269,11449.9,11439.7,ns,,,,,
"BM_doubleToString/100",61269,11445.9,11443.8,ns,,,,,
"BM_doubleToString/100",61269,11431.7,11418.4,ns,,,,,
"BM_doubleToString/100_mean",10,11452.7,11442.9,ns,,,,,
"BM_doubleToString/100_median",10,11447.9,11437.5,ns,,,,,
"BM_doubleToString/100_stddev",10,58.2618,58.9025,ns,,,,,
"BM_doubleToString/100_cv",10,0.00508715,0.00514754,,,,,,
"BM_doubleToString/1000",5134,157800,157672,ns,,,,,
"BM_doubleToString/1000",5134,168184,168012,ns,,,,,
"BM_doubleToString/1000",5134,167998,167832,ns,,,,,
"BM_doubleToString/1000",5134,186914,186758,ns,,,,,
"BM_doubleToString/1000",5134,181000,180794,ns,,,,,
"BM_doubleToString/1000",5134,177690,177477,ns,,,,,
"BM_doubleToString/1000",5134,168454,168453,ns,,,,,
"BM_doubleToString/1000",5134,177792,174164,ns,,,,,
"BM_doubleToString/1000",5134,167562,167341,ns,,,,,
"BM_doubleToString/1000",5134,164487,164271,ns,,,,,
"BM_doubleToString/1000_mean",10,171788,171278,ns,,,,,
"BM_doubleToString/1000_median",10,168319,168232,ns,,,,,
"BM_doubleToString/1000_stddev",10,8755.04,8545.25,ns,,,,,
"BM_doubleToString/1000_cv",10,0.0509642,0.0498913,,,,,,
"BM_doubleToString/10000",348,2.01484e+06,2.01147e+06,ns,,,,,
"BM_doubleToString/10000",348,1.97578e+06,1.97358e+06,ns,,,,,
"BM_doubleToString/10000",348,2.1363e+06,2.13621e+06,ns,,,,,
"BM_doubleToString/10000",348,2.10014e+06,2.09752e+06,ns,,,,,
"BM_doubleToString/10000",348,2.07644e+06,2.07284e+06,ns,,,,,
"BM_doubleToString/10000",348,1.99782e+06,1.99541e+06,ns,,,,,
"BM_doubleToString/10000",348,1.98617e+06,1.98607e+06,ns,,,,,
"BM_doubleToString/10000",348,1.9623e+06,1.95887e+06,ns,,,,,
"BM_doubleToString/10000",348,1.99949e+06,1.99617e+06,ns,,,,,
"BM_doubleToString/10000",348,2.12629e+06,2.12621e+06,ns,,,,,
"BM_doubleToString/10000_mean",10,2.03756e+06,2.03544e+06,ns,,,,,
"BM_doubleToString/10000_median",10,2.00717e+06,2.00382e+06,ns,,,,,
"BM_doubleToString/10000_stddev",10,65588.2,66241.9,ns,,,,,
"BM_doubleToString/10000_cv",10,0.0321896,0.0325443,,,,,,
"BM_doubleToString/100000",32,2.44862e+07,2.44801e+07,ns,,,,,
"BM_doubleToString/100000",32,2.17761e+07,2.17369e+07,ns,,,,,
"BM_doubleToString/100000",32,2.13423e+07,2.13156e+07,ns,,,,,
"BM_doubleToString/100000",32,2.11176e+07,2.11162e+07,ns,,,,,
"BM_doubleToString/100000",32,2.12242e+07,2.11853e+07,ns,,,,,
"BM_doubleToString/100000",32,2.19916e+07,2.19517e+07,ns,,,,,
"BM_doubleToString/100000",32,2.06365e+07,2.06354e+07,ns,,,,,
"BM_doubleToString/100000",32,2.0333e+07,2.02927e+07,ns,,,,,
"BM_doubleToString/100000",32,2.05568e+07,2.05234e+07,ns,,,,,
"BM_doubleToString/100000",32,2.037e+07,2.03688e+07,ns,,,,,
"BM_doubleToString/100000_mean",10,2.13834e+07,2.13606e+07,ns,,,,,
"BM_doubleToString/100000_median",10,2.11709e+07,2.11508e+07,ns,,,,,
"BM_doubleToString/100000_stddev",10,1.23019e+06,1.23224e+06,ns,,,,,
"BM_doubleToString/100000_cv",10,0.0575301,0.0576875,,,,,,
"BM_uptr",74266605,9.28987,9.28981,ns,,,,,
"BM_uptr",74266605,9.37525,9.36128,ns,,,,,
"BM_uptr",74266605,9.35797,9.3406,ns,,,,,
"BM_uptr",74266605,9.77539,9.77339,ns,,,,,
"BM_uptr",74266605,9.78617,9.76771,ns,,,,,
"BM_uptr",74266605,9.81892,9.80044,ns,,,,,
"BM_uptr",74266605,9.58129,9.56748,ns,,,,,
"BM_uptr",74266605,9.80078,9.80047,ns,,,,,
"BM_uptr",74266605,9.69041,9.67243,ns,,,,,
"BM_uptr",74266605,10.8673,10.849,ns,,,,,
"BM_uptr_mean",10,9.73434,9.72226,ns,,,,,
"BM_uptr_median",10,9.7329,9.72007,ns,,,,,
"BM_uptr_stddev",10,0.446353,0.44421,ns,,,,,
"BM_uptr_cv",10,0.0458534,0.04569,,,,,,
"BM_shared_ptr",56902150,11.6293,11.6062,ns,,,,,
